"table_name","column_name"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","network"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__usdc_withdraw","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","new_total_assets"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","fee_shares"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","network"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__weth_accrue_interest","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","sender"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","owner"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","assets"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","shares"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","network"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__weth_deposit","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","caller"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","supplied_assets"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","supplied_shares"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","network"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_supply","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","caller"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","withdrawn_assets"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","withdrawn_shares"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","network"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__weth_reallocate_withdraw","_peerdb_version"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","rindexer_id"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","contract_address"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","sender"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","receiver"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","owner"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","assets"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","shares"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","tx_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","block_number"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","block_hash"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","network"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","tx_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","log_index"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho__steakhouse__weth_withdraw","_peerdb_version"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","rindexer_id"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","contract_address"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","meta_morpho"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","caller"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","initial_owner"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","initial_timelock"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","asset"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","name"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","symbol"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","salt"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","tx_hash"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","block_number"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","block_hash"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","network"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","tx_index"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","log_index"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","_peerdb_synced_at"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","_peerdb_is_deleted"
"morpho_blue_etl_meta_morpho_v1_1_factory_create_meta_morpho","_peerdb_version"
"morpho_blue_etl_morpho__blue_accrue_interest","rindexer_id"
"morpho_blue_etl_morpho__blue_accrue_interest","contract_address"
"morpho_blue_etl_morpho__blue_accrue_interest","id"
"morpho_blue_etl_morpho__blue_accrue_interest","prev_borrow_rate"
"morpho_blue_etl_morpho__blue_accrue_interest","interest"
"morpho_blue_etl_morpho__blue_accrue_interest","fee_shares"
"morpho_blue_etl_morpho__blue_accrue_interest","tx_hash"
"morpho_blue_etl_morpho__blue_accrue_interest","block_number"
"morpho_blue_etl_morpho__blue_accrue_interest","block_hash"
"morpho_blue_etl_morpho__blue_accrue_interest","network"
"morpho_blue_etl_morpho__blue_accrue_interest","tx_index"
"morpho_blue_etl_morpho__blue_accrue_interest","log_index"
"morpho_blue_etl_morpho__blue_accrue_interest","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_accrue_interest","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_accrue_interest","_peerdb_version"
"morpho_blue_etl_morpho__blue_borrow","rindexer_id"
"morpho_blue_etl_morpho__blue_borrow","contract_address"
"morpho_blue_etl_morpho__blue_borrow","id"
"morpho_blue_etl_morpho__blue_borrow","caller"
"morpho_blue_etl_morpho__blue_borrow","on_behalf"
"morpho_blue_etl_morpho__blue_borrow","receiver"
"morpho_blue_etl_morpho__blue_borrow","assets"
"morpho_blue_etl_morpho__blue_borrow","shares"
"morpho_blue_etl_morpho__blue_borrow","tx_hash"
"morpho_blue_etl_morpho__blue_borrow","block_number"
"morpho_blue_etl_morpho__blue_borrow","block_hash"
"morpho_blue_etl_morpho__blue_borrow","network"
"morpho_blue_etl_morpho__blue_borrow","tx_index"
"morpho_blue_etl_morpho__blue_borrow","log_index"
"morpho_blue_etl_morpho__blue_borrow","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_borrow","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_borrow","_peerdb_version"
"morpho_blue_etl_morpho__blue_create_market","rindexer_id"
"morpho_blue_etl_morpho__blue_create_market","contract_address"
"morpho_blue_etl_morpho__blue_create_market","id"
"morpho_blue_etl_morpho__blue_create_market","market_params_loan_token"
"morpho_blue_etl_morpho__blue_create_market","market_params_collateral_token"
"morpho_blue_etl_morpho__blue_create_market","market_params_oracle"
"morpho_blue_etl_morpho__blue_create_market","market_params_irm"
"morpho_blue_etl_morpho__blue_create_market","market_params_lltv"
"morpho_blue_etl_morpho__blue_create_market","tx_hash"
"morpho_blue_etl_morpho__blue_create_market","block_number"
"morpho_blue_etl_morpho__blue_create_market","block_hash"
"morpho_blue_etl_morpho__blue_create_market","network"
"morpho_blue_etl_morpho__blue_create_market","tx_index"
"morpho_blue_etl_morpho__blue_create_market","log_index"
"morpho_blue_etl_morpho__blue_create_market","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_create_market","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_create_market","_peerdb_version"
"morpho_blue_etl_morpho__blue_flash_loan","rindexer_id"
"morpho_blue_etl_morpho__blue_flash_loan","contract_address"
"morpho_blue_etl_morpho__blue_flash_loan","caller"
"morpho_blue_etl_morpho__blue_flash_loan","token"
"morpho_blue_etl_morpho__blue_flash_loan","assets"
"morpho_blue_etl_morpho__blue_flash_loan","tx_hash"
"morpho_blue_etl_morpho__blue_flash_loan","block_number"
"morpho_blue_etl_morpho__blue_flash_loan","block_hash"
"morpho_blue_etl_morpho__blue_flash_loan","network"
"morpho_blue_etl_morpho__blue_flash_loan","tx_index"
"morpho_blue_etl_morpho__blue_flash_loan","log_index"
"morpho_blue_etl_morpho__blue_flash_loan","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_flash_loan","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_flash_loan","_peerdb_version"
"morpho_blue_etl_morpho__blue_liquidate","rindexer_id"
"morpho_blue_etl_morpho__blue_liquidate","contract_address"
"morpho_blue_etl_morpho__blue_liquidate","id"
"morpho_blue_etl_morpho__blue_liquidate","caller"
"morpho_blue_etl_morpho__blue_liquidate","borrower"
"morpho_blue_etl_morpho__blue_liquidate","repaid_assets"
"morpho_blue_etl_morpho__blue_liquidate","repaid_shares"
"morpho_blue_etl_morpho__blue_liquidate","seized_assets"
"morpho_blue_etl_morpho__blue_liquidate","bad_debt_assets"
"morpho_blue_etl_morpho__blue_liquidate","bad_debt_shares"
"morpho_blue_etl_morpho__blue_liquidate","tx_hash"
"morpho_blue_etl_morpho__blue_liquidate","block_number"
"morpho_blue_etl_morpho__blue_liquidate","block_hash"
"morpho_blue_etl_morpho__blue_liquidate","network"
"morpho_blue_etl_morpho__blue_liquidate","tx_index"
"morpho_blue_etl_morpho__blue_liquidate","log_index"
"morpho_blue_etl_morpho__blue_liquidate","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_liquidate","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_liquidate","_peerdb_version"
"morpho_blue_etl_morpho__blue_repay","rindexer_id"
"morpho_blue_etl_morpho__blue_repay","contract_address"
"morpho_blue_etl_morpho__blue_repay","id"
"morpho_blue_etl_morpho__blue_repay","caller"
"morpho_blue_etl_morpho__blue_repay","on_behalf"
"morpho_blue_etl_morpho__blue_repay","assets"
"morpho_blue_etl_morpho__blue_repay","shares"
"morpho_blue_etl_morpho__blue_repay","tx_hash"
"morpho_blue_etl_morpho__blue_repay","block_number"
"morpho_blue_etl_morpho__blue_repay","block_hash"
"morpho_blue_etl_morpho__blue_repay","network"
"morpho_blue_etl_morpho__blue_repay","tx_index"
"morpho_blue_etl_morpho__blue_repay","log_index"
"morpho_blue_etl_morpho__blue_repay","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_repay","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_repay","_peerdb_version"
"morpho_blue_etl_morpho__blue_supply","rindexer_id"
"morpho_blue_etl_morpho__blue_supply","contract_address"
"morpho_blue_etl_morpho__blue_supply","id"
"morpho_blue_etl_morpho__blue_supply","caller"
"morpho_blue_etl_morpho__blue_supply","on_behalf"
"morpho_blue_etl_morpho__blue_supply","assets"
"morpho_blue_etl_morpho__blue_supply","shares"
"morpho_blue_etl_morpho__blue_supply","tx_hash"
"morpho_blue_etl_morpho__blue_supply","block_number"
"morpho_blue_etl_morpho__blue_supply","block_hash"
"morpho_blue_etl_morpho__blue_supply","network"
"morpho_blue_etl_morpho__blue_supply","tx_index"
"morpho_blue_etl_morpho__blue_supply","log_index"
"morpho_blue_etl_morpho__blue_supply","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_supply","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_supply","_peerdb_version"
"morpho_blue_etl_morpho__blue_supply_collateral","rindexer_id"
"morpho_blue_etl_morpho__blue_supply_collateral","contract_address"
"morpho_blue_etl_morpho__blue_supply_collateral","id"
"morpho_blue_etl_morpho__blue_supply_collateral","caller"
"morpho_blue_etl_morpho__blue_supply_collateral","on_behalf"
"morpho_blue_etl_morpho__blue_supply_collateral","assets"
"morpho_blue_etl_morpho__blue_supply_collateral","tx_hash"
"morpho_blue_etl_morpho__blue_supply_collateral","block_number"
"morpho_blue_etl_morpho__blue_supply_collateral","block_hash"
"morpho_blue_etl_morpho__blue_supply_collateral","network"
"morpho_blue_etl_morpho__blue_supply_collateral","tx_index"
"morpho_blue_etl_morpho__blue_supply_collateral","log_index"
"morpho_blue_etl_morpho__blue_supply_collateral","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_supply_collateral","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_supply_collateral","_peerdb_version"
"morpho_blue_etl_morpho__blue_withdraw","rindexer_id"
"morpho_blue_etl_morpho__blue_withdraw","contract_address"
"morpho_blue_etl_morpho__blue_withdraw","id"
"morpho_blue_etl_morpho__blue_withdraw","caller"
"morpho_blue_etl_morpho__blue_withdraw","on_behalf"
"morpho_blue_etl_morpho__blue_withdraw","receiver"
"morpho_blue_etl_morpho__blue_withdraw","assets"
"morpho_blue_etl_morpho__blue_withdraw","shares"
"morpho_blue_etl_morpho__blue_withdraw","tx_hash"
"morpho_blue_etl_morpho__blue_withdraw","block_number"
"morpho_blue_etl_morpho__blue_withdraw","block_hash"
"morpho_blue_etl_morpho__blue_withdraw","network"
"morpho_blue_etl_morpho__blue_withdraw","tx_index"
"morpho_blue_etl_morpho__blue_withdraw","log_index"
"morpho_blue_etl_morpho__blue_withdraw","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_withdraw","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_withdraw","_peerdb_version"
"morpho_blue_etl_morpho__blue_withdraw_collateral","rindexer_id"
"morpho_blue_etl_morpho__blue_withdraw_collateral","contract_address"
"morpho_blue_etl_morpho__blue_withdraw_collateral","id"
"morpho_blue_etl_morpho__blue_withdraw_collateral","caller"
"morpho_blue_etl_morpho__blue_withdraw_collateral","on_behalf"
"morpho_blue_etl_morpho__blue_withdraw_collateral","receiver"
"morpho_blue_etl_morpho__blue_withdraw_collateral","assets"
"morpho_blue_etl_morpho__blue_withdraw_collateral","tx_hash"
"morpho_blue_etl_morpho__blue_withdraw_collateral","block_number"
"morpho_blue_etl_morpho__blue_withdraw_collateral","block_hash"
"morpho_blue_etl_morpho__blue_withdraw_collateral","network"
"morpho_blue_etl_morpho__blue_withdraw_collateral","tx_index"
"morpho_blue_etl_morpho__blue_withdraw_collateral","log_index"
"morpho_blue_etl_morpho__blue_withdraw_collateral","_peerdb_synced_at"
"morpho_blue_etl_morpho__blue_withdraw_collateral","_peerdb_is_deleted"
"morpho_blue_etl_morpho__blue_withdraw_collateral","_peerdb_version"
"morpho_blue_etl_public_allocator_public_reallocate_to","rindexer_id"
